id,pos,name,platform,publisher,genre,week,total,time,date,esrb,dateint,when
1,1, Wii Sports , Wii , Nintendo , Sports ,298953,2863968,7,2007-01-06,E,39088,Nov-06
2,2, Dragon Quest Monsters: Joker , DS , Square Enix , Role-Playing ,262871,889893,2,2007-01-06,E10+,39088,Dec-06
3,3, New Super Mario Bros. , DS , Nintendo , Platform ,218167,8419438,34,2007-01-06,E,39088,May-06
4,4,Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,199443,4673135,16,2007-01-06,T,39088,Sep-06
5,5, Nintendogs , DS , Nintendo , Simulation ,158310,11516065,90,2007-01-06,E,39088,Apr-05
6,6, Wii Play , Wii , Nintendo , Misc ,148336,895525,6,2007-01-06,E,39088,Nov-06
7,7, Animal Crossing: Wild World , DS , Nintendo , Simulation ,133085,6509461,59,2007-01-06,E,39088,Nov-05
8,8, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,125549,6387083,86,2007-01-06,E,39088,May-05
9,9, The Legend of Zelda: Twilight Princess , Wii , Nintendo , Adventure ,121455,1932392,7,2007-01-06,T,39088,Nov-06
10,10, Kirby Squeak Squad , DS , Nintendo , Platform ,114068,1087268,10,2007-01-06,E,39088,Oct-06
11,11, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS , DS , Nintendo , Misc ,106873,1070427,11,2007-01-06,E,39088,Oct-06
12,12, Mario Kart DS , DS , Nintendo , Racing ,105805,5842705,60,2007-01-06,E,39088,Nov-05
13,13, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,104595,3941981,54,2007-01-06,E,39088,Dec-05
14,14, Gears of War , X360 , Microsoft Game Studios , Shooter ,99511,3072777,9,2007-01-06,M,39088,Nov-06
15,15, Jump Ultimate Stars , DS , Nintendo , Fighting ,65529,615453,7,2007-01-06,T,39088,Nov-06
16,16, Metal Gear Solid: Portable Ops , PSP , Konami Digital Entertainment , Action ,63935,418868,5,2007-01-06,M,39088,Dec-06
17,17, WarioWare: Smooth Moves , Wii , Nintendo , Puzzle ,62052,262758,6,2007-01-06,E10+,39088,Nov-06
18,18, Mega Man Star Force Dragon / Leo / Pegasus , DS , Capcom , Role-Playing ,58378,284684,4,2007-01-06,E,39088,Dec-06
19,19, Dragon Ball Z: Budokai Tenkaichi 3 , Wii , Atari , Fighting ,55924,55924,38,2007-01-06,T,39088,Apr-06
20,20, Big Brain Academy , DS , Nintendo , Misc ,51513,2858636,80,2007-01-06,E,39088,Jun-05
21,21, Oshare Majo Love and Berry: DS Collection , DS , Sega , Misc ,50985,843357,7,2007-01-06,E,39088,Nov-06
22,22, Resistance: Fall of Man , PS3 , Sony Computer Entertainment , Shooter ,48767,475184,9,2007-01-06,M,39088,Nov-06
23,23, Call of Duty 3 , X360 , Activision , Shooter ,47961,1318220,41,2007-01-06,T,39088,Mar-06
24,24, Winning Eleven: Pro Evolution Soccer 2007 , PSP , Konami Digital Entertainment , Sports ,45715,474843,6,2007-01-06,E,39088,Nov-06
25,25, English Training: Have Fun Improving Your Skills! , DS , Nintendo , Misc ,44359,1814558,50,2007-01-06,E,39088,Jan-06
26,26, Tom Clancy's Rainbow Six: Vegas , X360 , Ubisoft , Shooter ,44248,762318,7,2007-01-06,M,39088,Nov-06
27,27, Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS , DS , Rocket Company , Misc ,39572,375410,15,2007-01-06,E,39088,Sep-06
28,28, Tamagotchi Connection: Corner Shop 2 , DS , Namco Bandai Games , Simulation ,39426,805204,24,2007-01-06,E,39088,Jul-06
29,29, Grand Theft Auto: Vice City Stories , PSP , Take-Two Interactive , Action ,39277,835346,10,2007-01-06,M,39088,Oct-06
30,30, Kenkou Ouen Recipe 1000: DS Kondate Zenshuu , DS , Nintendo , Misc ,37649,239230,5,2007-01-06,E,39088,Dec-06
31,1, Lost Planet: Extreme Condition , X360 , Capcom , Shooter ,256935,307286,4,2007-01-13,T,39095,Dec-06
32,2, Wii Sports , Wii , Nintendo , Sports ,222581,3086549,8,2007-01-13,E,39095,Nov-06
33,3, Nintendogs , DS , Nintendo , Simulation ,122209,11638274,91,2007-01-13,E,39095,Apr-05
34,4, New Super Mario Bros. , DS , Nintendo , Platform ,98159,8517597,35,2007-01-13,E,39095,May-06
35,5, The Legend of Zelda: Twilight Princess , Wii , Nintendo , Adventure ,95638,2028030,8,2007-01-13,T,39095,Nov-06
36,6, Gears of War , X360 , Microsoft Game Studios , Shooter ,79106,3151883,10,2007-01-13,M,39095,Nov-06
37,7, Wii Play , Wii , Nintendo , Misc ,76812,972337,7,2007-01-13,E,39095,Nov-06
