Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
1, Wii Sports , Wii , Nintendo , Sports ,501204,39201692,111,2009-01-02,E,39815 
2, Wii Play , Wii , Nintendo , Misc ,359944,20743445,110,2009-01-02,E,39815 
3, Wii Fit , Wii , Nintendo , Sports ,331232,13563157,58,2009-01-02,E,39815 
4, Mario Kart Wii , Wii , Nintendo , Racing ,321367,13240596,39,2009-01-02,E,39815 
5, Call of Duty: World at War , X360 , Activision , Shooter ,205810,4268378,8,2009-01-02,M,39815 
6, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,180788,2475078,7,2009-01-02,E,39815 
7, New Super Mario Bros. , DS , Nintendo , Platform ,162840,17856315,138,2009-01-02,E,39815 
8, Mario Kart DS , DS , Nintendo , Racing ,157857,13004663,164,2009-01-02,E,39815 
9, Guitar Hero: World Tour , Wii , Activision , Misc ,146325,2176311,10,2009-01-02,T,39815 
10, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,141159,4223193,9,2009-01-02,M,39815 
11, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,137631,16485645,190,2009-01-02,E,39815 
12, Call of Duty: World at War , PS3 , Activision , Shooter ,130896,2572405,8,2009-01-02,M,39815 
13, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,128819,2676645,31,2009-01-02,E10+,39815 
14, Kirby Super Star Ultra , DS , Nintendo , Platform ,124390,1940281,15,2009-01-02,E,39815 
15, Kung Fu Panda , X360 , Activision , Platform ,120349,2300227,31,2009-01-02,E,39815 
16, Nintendogs , DS , Nintendo , Simulation ,112265,21623290,194,2009-01-02,E,39815 
17, Guitar Hero: World Tour , X360 , Activision , Misc ,106778,1460048,10,2009-01-02,T,39815 
18, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,104742,13022246,158,2009-01-02,E,39815 
19, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,97798,1822248,10,2009-01-02,E,39815 
20, Left 4 Dead , X360 , Electronic Arts , Shooter ,97474,1407968,7,2009-01-02,M,39815 
21, Wii Music , Wii , Nintendo , Misc ,96632,2136582,12,2009-01-02,E,39815 
22, Dissidia: Final Fantasy , PSP , Square Enix , Fighting ,95198,759598,3,2009-01-02,T,39815 
23, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,92544,7918031,49,2009-01-02,T,39815 
24, Gran Turismo 5 Prologue , PS3 , Sony Computer Entertainment , Racing ,88318,2726282,56,2009-01-02,E,39815 
25, Rhythm Heaven , DS , Nintendo , Misc ,88123,1455552,23,2009-01-02,E,39815 
26, Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,86047,16323985,120,2009-01-02,T,39815 
27, Need For Speed: Undercover , PS3 , Electronic Arts , Racing ,85396,1007493,7,2009-01-02,T,39815 
28, Fallout 3 , X360 , Bethesda Softworks , Role-Playing ,81476,1886335,10,2009-01-02,M,39815 
29, Need For Speed: Undercover , X360 , Electronic Arts , Racing ,80729,1009098,7,2009-01-02,T,39815 
30, FIFA Soccer 09 , PS3 , Electronic Arts , Sports ,80250,1690136,14,2009-01-02,E,39815 
1, Wii Fit , Wii , Nintendo , Sports ,334191,13897348,59,2009-01-09,E,39822 
2, Wii Sports , Wii , Nintendo , Sports ,312332,39514024,112,2009-01-09,E,39822 
3, Wii Play , Wii , Nintendo , Misc ,192526,20935971,111,2009-01-09,E,39822 
4, Mario Kart Wii , Wii , Nintendo , Racing ,180655,13421251,40,2009-01-09,E,39822 
5, Call of Duty: World at War , X360 , Activision , Shooter ,139718,4408096,9,2009-01-09,M,39822 
6, New Super Mario Bros. , DS , Nintendo , Platform ,120012,17976327,139,2009-01-09,E,39822 
7, Mario Kart DS , DS , Nintendo , Racing ,109219,13113882,165,2009-01-09,E,39822 
8, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,100334,16585979,191,2009-01-09,E,39822 
9, Call of Duty: World at War , PS3 , Activision , Shooter ,93643,2666048,9,2009-01-09,M,39822 
10, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,93101,2769746,32,2009-01-09,E10+,39822 
11, Kung Fu Panda , X360 , Activision , Platform ,87344,2387571,32,2009-01-09,E,39822 
12, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,87343,2562421,8,2009-01-09,E,39822 
13, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,82943,4306136,10,2009-01-09,M,39822 
14, Guitar Hero: World Tour , Wii , Activision , Misc ,81361,2257672,11,2009-01-09,T,39822 
15, Left 4 Dead , X360 , Electronic Arts , Shooter ,79638,1487606,8,2009-01-09,M,39822 
16, Nintendogs , DS , Nintendo , Simulation ,79255,21702545,195,2009-01-09,E,39822 
17, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,71885,13094131,159,2009-01-09,E,39822 
18, Rayman Raving Rabbids: TV Party , Wii , Ubisoft , Misc ,59795,1046923,9,2009-01-09,E10+,39822 
19, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,59188,1881436,11,2009-01-09,E,39822 
20, Fallout 3 , X360 , Bethesda Softworks , Role-Playing ,56992,1943327,11,2009-01-09,M,39822 
21, Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,56519,16380504,121,2009-01-09,T,39822 
22, Need For Speed: Undercover , PS3 , Electronic Arts , Racing ,56399,1063892,8,2009-01-09,T,39822 
23, FIFA Soccer 09 , PS3 , Electronic Arts , Sports ,55543,1745679,15,2009-01-09,E,39822 
24, Guitar Hero: World Tour , X360 , Activision , Misc ,54197,1514245,11,2009-01-09,T,39822 
25, Kirby Super Star Ultra , DS , Nintendo , Platform ,53389,1993670,16,2009-01-09,E,39822 
26, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,52981,7971012,50,2009-01-09,T,39822 
27, Animal Crossing: Wild World , DS , Nintendo , Simulation ,50095,10393635,164,2009-01-09,E,39822 
28, Dissidia: Final Fantasy , PSP , Square Enix , Fighting ,49009,808607,4,2009-01-09,T,39822 
29, Link's Crossbow Training , Wii , Nintendo , Shooter ,48974,3391805,60,2009-01-09,T,39822 
30, Mario & Sonic at the Olympic Games , Wii , Nintendo , Sports ,48239,6509951,62,2009-01-09,E,39822 
1, Wii Sports , Wii , Nintendo , Sports ,301810,39815834,113,2009-01-16,E,39829 
2, Wii Fit , Wii , Nintendo , Sports ,271485,14168833,60,2009-01-16,E,39829 
3, Wii Play , Wii , Nintendo , Misc ,170544,21106515,112,2009-01-16,E,39829 
4, Mario Kart Wii , Wii , Nintendo , Racing ,163415,13584666,41,2009-01-16,E,39829 
5, Call of Duty: World at War , X360 , Activision , Shooter ,111810,4519906,10,2009-01-16,M,39829 
6, The Lord of the Rings: Conquest , X360 , Electronic Arts , Action ,108380,108380,1,2009-01-16,T,39829 
7, New Super Mario Bros. , DS , Nintendo , Platform ,90072,18066399,140,2009-01-16,E,39829 
8, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,84358,16670337,192,2009-01-16,E,39829 
9, Mario Kart DS , DS , Nintendo , Racing ,83949,13197830,166,2009-01-16,E,39829 
