Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB
1, New Super Mario Bros. Wii , Wii , Nintendo , Platform ,856318,10017219,7,2010-01-01,E
2, Wii Sports , Wii , Nintendo , Sports ,688350,57990430,163,2010-01-01,E
3, Wii Sports Resort , Wii , Nintendo , Sports ,630924,12513646,28,2010-01-01,E
4, Wii Fit Plus , Wii , Nintendo , Sports ,603194,8450755,14,2010-01-01,E
5, Mario Kart Wii , Wii , Nintendo , Racing ,303492,20661738,91,2010-01-01,E
6, Call of Duty: Modern Warfare 2 , X360 , Activision , Shooter ,298883,8773298,8,2010-01-01,M
7, Call of Duty: Modern Warfare 2 , PS3 , Activision , Shooter ,273325,6339967,8,2010-01-01,M
8, The Legend of Zelda: Spirit Tracks , DS , Nintendo , Adventure ,251192,1538110,4,2010-01-01,E10+
9, Wii Play , Wii , Nintendo , Misc ,212852,26657720,162,2010-01-01,E
10, Mario & Sonic at the Olympic Winter Games , Wii , Sega , Sports ,202530,2647304,12,2010-01-01,E
11, Assassin's Creed II , PS3 , Ubisoft , Action ,190113,2783449,7,2010-01-01,T
12, Assassin's Creed II , X360 , Ubisoft , Action ,183579,3050719,7,2010-01-01,T
13, Tomodachi Collection , DS , Nintendo , Misc ,183469,2505165,29,2010-01-01,E
14, Mario & Sonic at the Olympic Winter Games , DS , Sega , Sports ,179203,2100303,12,2010-01-01,E
15, New Super Mario Bros. , DS , Nintendo , Platform ,161626,21598928,190,2010-01-01,E
16, Just Dance , Wii , Ubisoft , Misc ,138122,705107,7,2010-01-01,E10+
17, Left 4 Dead 2 , X360 , Electronic Arts , Shooter ,136402,2311611,7,2010-01-01,M
18, Uncharted 2: Among Thieves , PS3 , Sony Computer Entertainment , Action ,130520,2770319,12,2010-01-01,T
19, Mario Kart DS , DS , Nintendo , Racing ,115607,16526686,216,2010-01-01,E
20, Final Fantasy XIII , PS3 , Square Enix , Role-Playing ,107330,1752245,3,2010-01-01,T
21, Need for Speed: Shift , PS3 , Electronic Arts , Racing ,104993,1787950,16,2010-01-01,E
22, Forza Motorsport 3 , X360 , Microsoft Game Studios , Racing ,97126,1971897,11,2010-01-01,E
23, Halo 3: ODST , X360 , Microsoft Game Studios , Shooter ,93555,4477917,15,2010-01-01,M
24, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,90468,2174815,47,2010-01-01,E
25, FIFA Soccer 10 , PS3 , Electronic Arts , Sports ,88717,2632971,14,2010-01-01,E
26, LEGO Batman: The Videogame , X360 , Warner Bros. Interactive Entertainment , Adventure ,79106,2073977,67,2010-01-01,E10+
27, None , DS , Nintendo , Role-Playing ,77223,3556510,17,2010-01-01,T
28, Call of Duty: Modern Warfare: Reflex Edition , Wii , Activision , Shooter ,76521,699426,8,2010-01-01,M
29, Borderlands , X360 , Take-Two Interactive , Shooter ,74009,1453305,11,2010-01-01,M
30, Grand Theft Auto: Episodes from Liberty City , X360 , Take-Two Interactive , Adventure ,73990,1081509,10,2010-01-01,M
