Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,DateInt
1, Pokemon X/Y , 3DS , Nintendo , Role-Playing ,252091,10046424,13,2014-01-03,E,41642 
2, Call of Duty: Ghosts , PS3 , Activision , Shooter ,182537,7646087,9,2014-01-03,M,41642 
3, Call of Duty: Ghosts , X360 , Activision , Shooter ,177887,7767550,9,2014-01-03,M,41642 
4, Grand Theft Auto V , PS3 , Take-Two Interactive , Action ,177572,16894054,16,2014-01-03,M,41642 
5, Puzzle & Dragons Z , 3DS , GungHo , Puzzle ,156176,1158389,4,2014-01-03,E,41642 
6, Grand Theft Auto V , X360 , Take-Two Interactive , Action ,141268,13097535,16,2014-01-03,M,41642 
7, Gran Turismo 6 , PS3 , Sony Computer Entertainment America , Racing ,127029,1950454,5,2014-01-03,E,41642 
8, The Legend of Zelda: A Link Between Worlds , 3DS , Nintendo , Action ,120257,1740862,7,2014-01-03,E,41642 
9, Super Mario 3D World , WiiU , Nintendo , Platform ,110560,1605148,7,2014-01-03,E,41642 
10, Minecraft , X360 , Microsoft Game Studios , Adventure ,107340,3219571,31,2014-01-03,E10+,41642 
11, Assassin's Creed IV: Black Flag , PS3 , Ubisoft , Action ,104861,2695934,10,2014-01-03,M,41642 
12, FIFA Soccer 14 , PS3 , Electronic Arts , Sports ,104186,5596035,15,2014-01-03,E,41642 
13, Just Dance 2014 , Wii , Ubisoft , Misc ,102162,2723677,14,2014-01-03,E10+,41642 
14, FIFA Soccer 14 , PS4 , Electronic Arts , Sports ,93221,1268098,8,2014-01-03,E,41642 
15, New Super Mario Bros. U , WiiU , Nintendo , Action ,91627,3507463,59,2014-01-03,E,41642 
16, Battlefield 4 , PS3 , Electronic Arts , Shooter ,89314,2410621,10,2014-01-03,M,41642 
17, Call of Duty: Ghosts , PS4 , Activision , Shooter ,87719,1599624,8,2014-01-03,M,41642 
18, Battlefield 4 , PS4 , Electronic Arts , Shooter ,87653,1250942,8,2014-01-03,M,41642 
19, Wii Party U , WiiU , Nintendo , Action ,85960,974689,11,2014-01-03,E,41642 
20, Assassin's Creed IV: Black Flag , X360 , Ubisoft , Action ,82893,2165572,10,2014-01-03,M,41642 
21, Battlefield 4 , X360 , Electronic Arts , Shooter ,80498,2512808,10,2014-01-03,M,41642 
22, Animal Crossing: New Leaf , 3DS , Nintendo , Action ,78538,6251519,61,2014-01-03,E,41642 
23, Assassin's Creed IV: Black Flag , PS4 , Ubisoft , Action ,72462,1194778,8,2014-01-03,M,41642 
24, Call of Duty: Ghosts , XOne , Activision , Shooter ,72321,1346171,7,2014-01-03,M,41642 
25, NBA 2K14 , X360 , Take-Two Interactive , Sports ,67634,1699212,14,2014-01-03,E,41642 
26, Forza Motorsport 5 , XOne , Microsoft Game Studios , Racing ,61192,907797,7,2014-01-03,E,41642 
27, Mario Kart 7 , 3DS , Nintendo , Racing ,57983,9169258,110,2014-01-03,E,41642 
28, Need for Speed Rivals , PS4 , Electronic Arts , Racing ,57349,625773,8,2014-01-03,E10+,41642 
29, Battlefield 4 , XOne , Electronic Arts , Shooter ,56876,1017114,7,2014-01-03,M,41642 
30, New Super Mario Bros. 2 , 3DS , Nintendo , Platform ,55796,7226020,76,2014-01-03,E,41642 
1, Kirby: Triple Deluxe , 3DS , Nintendo , Platform ,218359,218359,1,2014-01-10,E,41649 
2, Grand Theft Auto V , PS3 , Take-Two Interactive , Action ,114806,17008860,17,2014-01-10,M,41649 
3, Pokemon X/Y , 3DS , Nintendo , Role-Playing ,112107,10158531,14,2014-01-10,E,41649 
4, Call of Duty: Ghosts , PS3 , Activision , Shooter ,109799,7755886,10,2014-01-10,M,41649 
5, Call of Duty: Ghosts , X360 , Activision , Shooter ,104845,7872395,10,2014-01-10,M,41649 
6, Grand Theft Auto V , X360 , Take-Two Interactive , Action ,80396,13177931,17,2014-01-10,M,41649 
7, FIFA Soccer 14 , PS4 , Electronic Arts , Sports ,68894,1336992,9,2014-01-10,E,41649 
8, FIFA Soccer 14 , PS3 , Electronic Arts , Sports ,64760,5660795,16,2014-01-10,E,41649 
9, Call of Duty: Ghosts , PS4 , Activision , Shooter ,63243,1662867,9,2014-01-10,M,41649 
10, Battlefield 4 , PS4 , Electronic Arts , Shooter ,59730,1310672,9,2014-01-10,M,41649 
11, Minecraft , X360 , Microsoft Game Studios , Adventure ,59266,3278837,32,2014-01-10,E10+,41649 
12, The Legend of Zelda: A Link Between Worlds , 3DS , Nintendo , Action ,55534,1796396,8,2014-01-10,E,41649 
13, Assassin's Creed IV: Black Flag , PS3 , Ubisoft , Action ,54461,2750395,11,2014-01-10,M,41649 
14, Gran Turismo 6 , PS3 , Sony Computer Entertainment America , Racing ,53960,2004414,6,2014-01-10,E,41649 
15, Just Dance 2014 , Wii , Ubisoft , Misc ,51755,2775432,15,2014-01-10,E10+,41649 
16, Super Mario 3D World , WiiU , Nintendo , Platform ,48631,1653779,8,2014-01-10,E,41649 
17, Puzzle & Dragons Z , 3DS , GungHo , Puzzle ,48585,1206974,5,2014-01-10,E,41649 
18, Assassin's Creed IV: Black Flag , PS4 , Ubisoft , Action ,47262,1242040,9,2014-01-10,M,41649 
19, Battlefield 4 , PS3 , Electronic Arts , Shooter ,46161,2456782,11,2014-01-10,M,41649 
20, Killzone: Shadow Fall , PS4 , Sony Computer Entertainment , Action ,44192,1260340,9,2014-01-10,M,41649 
21, Assassin's Creed IV: Black Flag , X360 , Ubisoft , Action ,42047,2207619,11,2014-01-10,M,41649 
22, Call of Duty: Ghosts , XOne , Activision , Shooter ,40910,1387081,8,2014-01-10,M,41649 
23, Battlefield 4 , X360 , Electronic Arts , Shooter ,39554,2552362,11,2014-01-10,M,41649 
24, Animal Crossing: New Leaf , 3DS , Nintendo , Action ,38155,6289674,62,2014-01-10,E,41649 
25, New Super Mario Bros. U , WiiU , Nintendo , Action ,37948,3545411,60,2014-01-10,E,41649 
26, NBA 2K14 , X360 , Take-Two Interactive , Sports ,35693,1734905,15,2014-01-10,E,41649 
27, Forza Motorsport 5 , XOne , Microsoft Game Studios , Racing ,34778,942575,8,2014-01-10,E,41649 
28, Battlefield 4 , XOne , Electronic Arts , Shooter ,34252,1051366,8,2014-01-10,M,41649 
29, FIFA Soccer 14 , X360 , Electronic Arts , Sports ,33279,3596761,16,2014-01-10,E,41649 
30, Need for Speed Rivals , PS4 , Electronic Arts , Racing ,32828,658601,9,2014-01-10,E10+,41649 
1, Grand Theft Auto V , PS3 , Take-Two Interactive , Action ,89568,17098428,18,2014-01-17,M,41656 
