id,pos,name,platform,publisher,genre,week,total,time,date,esrb,dateint,whenint,when,whenyear
1,1, Wii Sports ( Wii ), Wii , Nintendo , Sports ,298953,2863968,7,2007-01-06,E,39088,39039,2006-11-18,2006
2,2, Dragon Quest Monsters: Joker ( DS ), DS , Square Enix , Role-Playing ,262871,889893,2,2007-01-06,E10+,39088,39074,2006-12-23,2006
3,3, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,218167,8419438,34,2007-01-06,E,39088,38850,2006-05-13,2006
4,4,Pokemon Diamond/Pokemon Pearl( DS ), DS , Nintendo , Role-Playing ,199443,4673135,16,2007-01-06,T,39088,38976,2006-09-16,2006
5,5, Nintendogs ( DS ), DS , Nintendo , Simulation ,158310,11516065,90,2007-01-06,E,39088,38458,2005-04-16,2005
6,6, Wii Play ( Wii ), Wii , Nintendo , Misc ,148336,895525,6,2007-01-06,E,39088,39046,2006-11-25,2006
7,7, Animal Crossing: Wild World ( DS ), DS , Nintendo , Simulation ,133085,6509461,59,2007-01-06,E,39088,38675,2005-11-19,2005
8,8, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,125549,6387083,86,2007-01-06,E,39088,38486,2005-05-14,2005
9,9, The Legend of Zelda: Twilight Princess ( Wii ), Wii , Nintendo , Adventure ,121455,1932392,7,2007-01-06,T,39088,39039,2006-11-18,2006
10,10, Kirby Squeak Squad ( DS ), DS , Nintendo , Platform ,114068,1087268,10,2007-01-06,E,39088,39018,2006-10-28,2006
11,11, Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS ( DS ), DS , Nintendo , Misc ,106873,1070427,11,2007-01-06,E,39088,39011,2006-10-21,2006
12,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,105805,5842705,60,2007-01-06,E,39088,38668,2005-11-12,2005
13,13, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,104595,3941981,54,2007-01-06,E,39088,38710,2005-12-24,2005
14,14, Gears of War ( X360 ), X360 , Microsoft Game Studios , Shooter ,99511,3072777,9,2007-01-06,M,39088,39025,2006-11-04,2006
15,15, Jump Ultimate Stars ( DS ), DS , Nintendo , Fighting ,65529,615453,7,2007-01-06,T,39088,39039,2006-11-18,2006
16,16, Metal Gear Solid: Portable Ops ( PSP ), PSP , Konami Digital Entertainment , Action ,63935,418868,5,2007-01-06,M,39088,39053,2006-12-02,2006
17,17, WarioWare: Smooth Moves ( Wii ), Wii , Nintendo , Puzzle ,62052,262758,6,2007-01-06,E10+,39088,39046,2006-11-25,2006
18,18, Mega Man Star Force Dragon / Leo / Pegasus ( DS ), DS , Capcom , Role-Playing ,58378,284684,4,2007-01-06,E,39088,39060,2006-12-09,2006
19,19, Dragon Ball Z: Budokai Tenkaichi 3 ( Wii ), Wii , Atari , Fighting ,55924,55924,38,2007-01-06,T,39088,38822,2006-04-15,2006
20,20, Big Brain Academy ( DS ), DS , Nintendo , Misc ,51513,2858636,80,2007-01-06,E,39088,38528,2005-06-25,2005
21,21, Oshare Majo Love and Berry: DS Collection ( DS ), DS , Sega , Misc ,50985,843357,7,2007-01-06,E,39088,39039,2006-11-18,2006
22,22, Resistance: Fall of Man ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,48767,475184,9,2007-01-06,M,39088,39025,2006-11-04,2006
23,23, Call of Duty 3 ( X360 ), X360 , Activision , Shooter ,47961,1318220,41,2007-01-06,T,39088,38801,2006-03-25,2006
24,24, Winning Eleven: Pro Evolution Soccer 2007 ( PSP ), PSP , Konami Digital Entertainment , Sports ,45715,474843,6,2007-01-06,E,39088,39046,2006-11-25,2006
25,25, English Training: Have Fun Improving Your Skills! ( DS ), DS , Nintendo , Misc ,44359,1814558,50,2007-01-06,E,39088,38738,2006-01-21,2006
