publisher,r,g,b,a
 Nintendo ,238,40,59,80
 GungHo ,238,40,59,80
 Sony Computer Entertainment America ,238,40,59,80
 Sony Computer Entertainment ,238,40,59,80
 Capcom ,238,40,59,80
 Namco Bandai Games ,238,40,59,80
 Square Enix ,238,40,59,80
 Nippon Ichi Software ,238,40,59,80
 Level 5 ,238,40,59,80
 Sega ,238,40,59,80
 Marvelous Interactive ,238,40,59,80
 Konami Digital Entertainment ,238,40,59,80
 Gust ,238,40,59,80
 Tecmo Koei ,238,40,59,80
 Arc System Works ,238,40,59,80
 Atlus ,238,40,59,80
 Compile Heart ,238,40,59,80
 FuRyu ,238,40,59,80
 Nihon Falcom Corporation ,238,40,59,80
 5pb ,238,40,59,80
 Marvelous Entertainment ,238,40,59,80
 D3Publisher ,238,40,59,80
 Kadokawa Games ,238,40,59,80
 Rocket Company ,238,40,59,80
 PlatinumGames ,238,40,59,80
 Activision ,0,78,116,80
 Take-Two Interactive ,0,78,116,80
 Microsoft Game Studios ,0,78,116,80
 Electronic Arts ,0,78,116,80
 Warner Bros. Interactive Entertainment ,0,78,116,80
 Bethesda Softworks ,0,78,116,80
 Unknown ,0,78,116,80
 505 Games ,0,78,116,80
 Disney Interactive Studios ,0,78,116,80
 Screenlife ,0,78,116,80
 Telltale Games ,0,78,116,80
 Ubisoft ,194,196,198,80
 Focus Home Interactive ,194,196,198,80
 Deep Silver ,194,196,198,80
 NCSoft ,194,196,198,80
 Codemasters ,194,196,198,80
 MTO ,238,40,59,80
 Takara Tomy ,238,40,59,80
 Banpresto ,238,40,59,80
 Spike ,238,40,59,80
 Hudson Soft ,238,40,59,80
 Paon ,238,40,59,80
 From Software ,238,40,59,80
 Benesse ,238,40,59,80
 Enterbrain ,238,40,59,80
 Aquaplus ,238,40,59,80
 Falcom Corporation ,238,40,59,80
 CyberFront ,238,40,59,80
 Irem Software Engineering ,238,40,59,80
 Taito ,238,40,59,80
 Acquire ,238,40,59,80
 PQube ,238,40,59,80
 Natsume ,238,40,59,80
 Idea Factory ,238,40,59,80
 Broccoli ,238,40,59,80
 Aqua Plus ,238,40,59,80
 Image Epoch ,238,40,59,80
 Success ,238,40,59,80
 Otomate ,238,40,59,80
 Spike Co. ,238,40,59,80
 Sony Computer Entertainment Europe ,238,40,59,80
 Atari ,0,78,116,80
 Midway Games ,0,78,116,80
 SouthPeak Interactive ,0,78,116,80
 THQ ,0,78,116,80
 LucasArts ,0,78,116,80
 Touchstone ,0,78,116,80
 MTV Games ,0,78,116,80
 Gamebridge ,0,78,116,80
 Aksys Games ,0,78,116,80
 Xseed Games ,0,78,116,80
 Sony Online Entertainment ,0,78,116,80
 SouthPeak Games ,0,78,116,80
 Majesco Entertainment ,0,78,116,80
 Valve Corporation ,0,78,116,80
 Trion Worlds ,0,78,116,80
 Rising Star Games ,194,196,198,80
 Eidos Interactive ,194,196,198,80
 Vivendi Games ,194,196,198,80
 Ignition Entertainment ,194,196,198,80
 Russel ,194,196,198,80
 CDV Software Entertainment ,194,196,198,80
 Ghostlight ,194,196,198,80
 City Interactive ,194,196,198,80
 Ubisoft Annecy ,194,196,198,80
 Kadokawa Shoten ,238,40,59,80
